wordindex,word,surah,ayah,startx,starty,width,pageno,rawword,pageno1
163,وَإِذَا,2,14,,,,4,وإذا,3
164,لَقُوا,2,14,,,,4,لقوا,3
165,الَّذِينَ,2,14,,,,4,الذين,3
166,آمَنُوا,2,14,,,,4,آمنوا,3
167,قَالُوا,2,14,,,,4,قالوا,3
168,آمَنَّا,2,14,,,,4,آمنا,3
169,وَإِذَا,2,14,,,,4,وإذا,3
170,خَلَوْا,2,14,,,,4,خلوا,3
171,إِلَىٰ,2,14,,,,4,إلى,3
172,شَيَاطِينِهِمْ,2,14,,,,4,شياطينهم,3
173,قَالُوا,2,14,,,,4,قالوا,3
174,إِنَّا,2,14,,,,4,إنا,3
175,مَعَكُمْ,2,14,,,,4,معكم,3
176,إِنَّمَا,2,14,,,,4,إنما,3
177,نَحْنُ,2,14,,,,4,نحن,3
178,مُسْتَهْزِئُونَ,2,14,,,,4,مستهزئون,3
179,اللَّهُ,2,15,,,,4,الله,3
180,يَسْتَهْزِئُ,2,15,,,,4,يستهزئ,3
181,بِهِمْ,2,15,,,,4,بهم,3
182,وَيَمُدُّهُمْ,2,15,,,,4,ويمدهم,3
183,فِي,2,15,,,,4,في,3
184,طُغْيَانِهِمْ,2,15,,,,4,طغيانهم,3
185,يَعْمَهُونَ,2,15,,,,4,يعمهون,3
186,أُولَٰئِكَ,2,16,,,,5,أولئك,3
187,الَّذِينَ,2,16,,,,5,الذين,3
188,اشْتَرَوُا,2,16,,,,5,اشتروا,3
189,الضَّلَالَةَ,2,16,,,,5,الضلالة,3
190,بِالْهُدَىٰ,2,16,,,,5,بالهدى,3
191,فَمَا,2,16,,,,5,فما,3
192,رَبِحَت,2,16,,,,5,ربحت,3
193,تِّجَارَتُهُمْ,2,16,,,,5,تجارتهم,3
194,وَمَا,2,16,,,,5,وما,3
195,كَانُوا,2,16,,,,5,كانوا,3
196,مُهْتَدِينَ,2,16,,,,5,مهتدين,3
197,مَثَلُهُمْ,2,17,,,,5,مثلهم,4
198,كَمَثَلِ,2,17,,,,5,كمثل,4
199,الَّذِي,2,17,,,,5,الذي,4
200,اسْتَوْقَدَ,2,17,,,,5,استوقد,4
201,نَارًا,2,17,,,,5,نارا,4
202,فَلَمَّا,2,17,,,,5,فلما,4
203,أَضَاءَتْ,2,17,,,,5,أضاءت,4
204,مَا,2,17,,,,5,ما,4
205,حَوْلَهُ,2,17,,,,5,حوله,4
206,ذَهَبَ,2,17,,,,5,ذهب,4
207,اللَّهُ,2,17,,,,5,الله,4
208,بِنُورِهِمْ,2,17,,,,5,بنورهم,4
209,وَتَرَكَهُمْ,2,17,,,,5,وتركهم,4
210,فِي,2,17,,,,5,في,4
211,ظُلُمَاتٍ,2,17,,,,5,ظلمات,4
212,لَّا,2,17,,,,5,لا,4
213,يُبْصِرُونَ,2,17,,,,5,يبصرون,4
214,صُمٌّ,2,18,,,,5,صم,4
215,بُكْمٌ,2,18,,,,5,بكم,4
216,عُمْيٌ,2,18,,,,5,عمي,4
217,فَهُمْ,2,18,,,,5,فهم,4
218,لَا,2,18,,,,5,لا,4
219,يَرْجِعُونَ,2,18,,,,5,يرجعون,4
220,أَوْ,2,19,,,,5,أو,4
221,كَصَيِّبٍ,2,19,,,,5,كصيب,4
222,مِّنَ,2,19,,,,5,من,4
223,السَّمَاءِ,2,19,,,,5,السماء,4
224,فِيهِ,2,19,,,,5,فيه,4
225,ظُلُمَاتٌ,2,19,,,,5,ظلمات,4
226,وَرَعْدٌ,2,19,,,,5,ورعد,4
227,وَبَرْقٌ,2,19,,,,5,وبرق,4
228,يَجْعَلُونَ,2,19,,,,5,يجعلون,4
229,أَصَابِعَهُمْ,2,19,,,,5,أصابعهم,4
230,فِي,2,19,,,,5,في,4
231,آذَانِهِم,2,19,,,,5,آذانهم,4
232,مِّنَ,2,19,,,,5,من,4
